player_id,player_name,date_of_birth,birth_place,role,batting_style,bowling_style
156,Shivnarine Chanderpaul,"Aug 16, 1974","Unity Village, East Coast, Demerara, Guyana",Batsman,Left Handed Bat,Right-Arm Legbreak
157,Shreevats Goswami,"May 18, 1989","Calcutta (Now Kolkata), Bengal",WK-Batsman,Left Handed Bat,
158,Sunil Joshi,"Jun 06, 1970","Gadag, Karnataka",Bowling Allrounder,Left Handed Bat,Left-Arm Orthodox
159,Zaheer Khan,"Oct 07, 1978","Shrirampur, Maharashtra",Bowler,Right Handed Bat,Left-Arm Fast-Medium
160,Praveen Kumar,"Oct 02, 1986","Meerut, Uttar Pradesh",Bowler,Right Handed Bat,Right-Arm Medium
161,Misbah-ul-Haq,"May 28, 1974","Mianwali, Punjab",Batsman,Right Handed Bat,Right-Arm Legbreak
162,Devraj Patil,"Dec 06, 1984",,WK-Batsman,Right Handed Bat,
163,Ross Taylor,"Mar 08, 1984","Lower Hutt, Wellington",Batsman,Right Handed Bat,Right-Arm Offbreak
164,Cameron White,"Aug 18, 1983","Bairnsdale, Victoria",Batsman,Right Handed Bat,Right-Arm Legbreak
165,Shane Warne,"Sep 13, 1969","Ferntree Gully, Victoria",Bowler,Right Handed Bat,Right-Arm Legbreak
166,Swapnil Asnodkar,"Mar 29, 1984","Porvorim, Goa, India",Batting Allrounder,Right Handed Bat,Right-Arm Offbreak
167,Mohammad Kaif,"Dec 01, 1980","Allahabad, Uttar Pradesh",Batting Allrounder,Right Handed Bat,Right-Arm Offbreak
168,Darren Lehmann,"Feb 05, 1970","Gawler, South Australia",Batting Allrounder,Left Handed Bat,Left-Arm Orthodox
169,Morne Morkel,"Oct 06, 1984","Vereeniging, Transvaal",Bowler,Left Handed Bat,Right-Arm Fast
170,Munaf Patel,"Jul 12, 1983","Ikhar, Gujarat",Bowler,Right Handed Bat,Right-Arm Fast-Medium
171,Yusuf Pathan,"Nov 17, 1982","Baroda, Gujarat",Batting Allrounder,Right Handed Bat,Right-Arm Offbreak
172,Anup Revandkar,"Nov 25, 1987","Bombay (Now Mumbai), Maharashtra",Batsman,Right Handed Bat,Right-Arm Fast-Medium
173,Jaydev Shah,"May 04, 1983","Rajkot, Gujarat",Batsman,Left Handed Bat,Right-Arm Offbreak
174,Sohail Tanvir,"Dec 12, 1984","Rawalpindi, Punjab",Bowler,Left Handed Bat,Left-Arm Fast-Medium
175,Shane Watson,"Jun 17, 1981","Ipswich, Queensland",Batting Allrounder,Right Handed Bat,Right-Arm Fast-Medium
176,Aditya Angle,"Nov 02, 1983",,Bowler,Right Handed Bat,
177,Ravindra Jadeja,"Dec 06, 1988","Navagam-Khed, Saurashtra",Bowling Allrounder,Left Handed Bat,Left-Arm Orthodox
178,Kamran Akmal,"Jan 13, 1982","Lahore, Punjab",WK-Batsman,Right Handed Bat,
179,Taruwar Kohli,"Dec 17, 1988",,Batting Allrounder,Right Handed Bat,
180,Parag More,"Jun 08, 1985","Pune, Maharashtra",Batting Allrounder,Right Handed Bat,Right-Arm Offbreak
181,Pankaj Singh,"May 06, 1985",,Bowler,Right Handed Bat,Right-Arm Fast-Medium
182,Niraj Patel,"Mar 26, 1981",,Batting Allrounder,Right Handed Bat,
183,Mahesh Rawat,"Oct 25, 1985",Faridabad,WK-Batsman,Right Handed Bat,
184,Dinesh Salunkhe,"Nov 12, 1982",,Batting Allrounder,Right Handed Bat,
185,Graeme Smith,"Feb 01, 1981","Johannesburg, Transvaal",Batsman,Left Handed Bat,Right-Arm Offbreak
186,Siddharth Trivedi,"Sep 04, 1982",,Bowler,Right Handed Bat,Right-Arm Medium
187,Younis Khan,"Nov 29, 1977","Mardan, North-West Frontier Province",Batsman,Right Handed Bat,Right-Arm Medium
188,Thilan Thushara,"Mar 01, 1981",Balapitiya,Bowler,Left Handed Bat,Left-Arm Fast-Medium
189,Murali Vijay,"Apr 01, 1984",Chennai,Batsman,Right Handed Bat,Right-Arm Offbreak
190,George Bailey,"Sep 07, 1982","Launceston, Tasmania",Batsman,Right Handed Bat,Right-Arm Medium
191,Andrew Flintoff,"Dec 06, 1977","Preston, Lancashire",Bowling Allrounder,Right Handed Bat,Right-Arm Fast
192,Sudeep Tyagi,"Sep 17, 1987",,Bowler,Right Handed Bat,Right-Arm Fast-Medium
193,Azhar Bilakhia,"May 12, 1984",,Batsman,Right Handed Bat,
194,Ryan Harris,"Oct 11, 1979","Nowra, New South Wales",Bowler,Right Handed Bat,Right-Arm Fast
195,Shoaib Ahmed,"Nov 19, 1987",,Bowler,Right Handed Bat,
196,RP Singh,"Dec 06, 1985","Rae Bareli, Uttar Pradesh",Bowler,Right Handed Bat,Left-Arm Fast-Medium
197,Abhinav Kumar,"Nov 07, 1984",,Batsman,Right Handed Bat,
198,Manvinder Bisla,"Dec 27, 1984",,WK-Batsman,Right Handed Bat,
199,Fidel Edwards,"Feb 06, 1982","Gays, St Peter, Barbados",Bowler,Right Handed Bat,Right-Arm Fast
200,Harmeet Singh,"Oct 09, 1987",,Bowler,Right Handed Bat,Right-Arm Medium
201,Jaskaran Singh,"Sep 04, 1989",,Bowler,Right Handed Bat,
202,Tirumalsetti Suman,"Dec 15, 1983","Hyderabad, Andhra Pradesh",Batsman,Right Handed Bat,Right-Arm Offbreak
203,Paul Collingwood,"May 26, 1976","Shotley Bridge, Co Durham",Batsman,Right Handed Bat,Right-Arm Medium
204,Dirk Nannes,"May 16, 1976","Mount Waverly, Melbourne, Victoria",Bowler,Right Handed Bat,Left-Arm Fast-Medium
205,Aavishkar Salvi,"Oct 20, 1981","Bombay (Now Mumbai), Maharashtra",Bowler,Right Handed Bat,Right-Arm Medium
206,Owais Shah,"Oct 22, 1978","Karachi, Sind, Pakistan",Batsman,Right Handed Bat,Right-Arm Offbreak
207,David Warner,"Oct 27, 1986","Paddington, New South Wales",Batsman,Left Handed Bat,Right-Arm Legbreak
208,Umesh Yadav,"Oct 25, 1987",,Bowler,Right Handed Bat,Right-Arm Fast
209,Andrew McDonald,"Jun 05, 1981","Wodonga, Victoria",Batting Allrounder,Right Handed Bat,Right-Arm Fast-Medium
210,Daniel Vettori,"Jan 27, 1979",Auckland,Bowling Allrounder,Left Handed Bat,Left-Arm Orthodox
211,Anureet Singh,"Mar 02, 1988",,Bowler,Right Handed Bat,Right-Arm Fast-Medium
212,Moises Henriques,"Feb 01, 1987","Funchal, Portugal",Batting Allrounder,Right Handed Bat,Right-Arm Fast-Medium
213,Charl Langeveldt,"Dec 17, 1974","Stellenbosch, Cape Province",Bowler,Right Handed Bat,Right-Arm Fast-Medium
214,Angelo Mathews,"Jun 02, 1987",Colombo,Batting Allrounder,Right Handed Bat,Right-Arm Fast-Medium
215,Morne van Wyk,"Mar 20, 1979","Bloemfontein, Orange Free State",WK-Batsman,Right Handed Bat,Left-Arm Orthodox
216,Rohan Banerjee,"Dec 10, 1988","Bijpur, Bengal",Batsman,Left Handed Bat,Right-Arm Medium
217,Arindam Ghosh,"Oct 19, 1986",,Batting Allrounder,Right Handed Bat,
218,Mashrafe Mortaza,"Oct 05, 1983","Norail, Jessore",Bowling Allrounder,Right Handed Bat,Right-Arm Fast-Medium
219,Shoaib Shaikh,"Jan 18, 1987","Bombay (Now Mumbai), Maharashtra",Bowler,Right Handed Bat,Right-Arm Medium
220,Yashpal Singh,"Nov 27, 1981",Delhi,Batting Allrounder,Right Handed Bat,
221,Sourav Sarkar,"Dec 15, 1984",,Batting Allrounder,Right Handed Bat,
222,Ranadeb Bose,"Feb 27, 1979",,Batting Allrounder,Right Handed Bat,
223,Amanpreet Singh,"Sep 16, 1989","Chandigarh, Punjab",Bowler,Right Handed Bat,Right-Arm Fast-Medium
224,Burt Cockley,"Apr 03, 1986",,Bowler,Right Handed Bat,
225,Vikramjeet Singh Malik,"May 09, 1983","Vishakapatnam, Andhra Pradesh",Bowler,Right Handed Bat,Right-Arm Medium
226,Yusuf Abdulla,"Jan 17, 1983","Johannesburg, Transvaal",Batting Allrounder,Left Handed Bat,Left-Arm Fast-Medium
227,Sahil Kukreja,"Jul 09, 1985","Bombay (Now Mumbai), Maharashtra",Batsman,Right Handed Bat,
228,Ryan Ninan,"Nov 19, 1985",,Batting Allrounder,Right Handed Bat,
229,Ravikant Shukla,"Jul 07, 1987","Rae Bareli, Uttar Pradesh",Batsman,Left Handed Bat,Right-Arm Medium
230,Lasith Malinga,"Aug 28, 1983",Galle,Bowler,Right Handed Bat,Right-Arm Fast
231,Mohammad Ashraful,"Jul 07, 1984",Dhaka,Batsman,Right Handed Bat,Right-Arm Legbreak
232,Rahil Shaikh,"Jun 12, 1985",,Bowler,Right Handed Bat,
234,Ryan McLaren,"Feb 09, 1983","Kimberley, Cape Province",Bowling Allrounder,Left Handed Bat,Right-Arm Fast-Medium
235,Chetanya Nanda,"Mar 29, 1979",,Batsman,Right Handed Bat,
236,Balachandra Akhil,"Oct 07, 1977",,Batting Allrounder,Right Handed Bat,Right-Arm Medium
237,Sreenath Aravind,"Apr 08, 1984","Bangalore, Karnataka",Bowler,Left Handed Bat,Left-Arm Fast-Medium
238,Saurabh Bandekar,"Nov 16, 1987","Bombay (Now Mumbai), Maharashtra",Batting Allrounder,Right Handed Bat,Right-Arm Fast-Medium
239,Rajesh Bishnoi,"Oct 08, 1987",,Batsman,Right Handed Bat,
240,Nathan Bracken,"Sep 12, 1977","Penrith, New South Wales",Bowler,Right Handed Bat,Left-Arm Fast-Medium
241,Dillon du Preez,"Nov 08, 1981","Port Elizabeth, Cape Province",Batting Allrounder,Right Handed Bat,Right-Arm Fast-Medium
242,Udit Patel,"Aug 31, 1984",,Batting Allrounder,Right Handed Bat,Right-Arm Offbreak
243,Jitendra Arun Patil,"Sep 09, 1989","Pachora, Maharashtra",Bowling Allrounder,Right Handed Bat,Left-Arm Medium
244,RK Sabharwal,"Jan 08, 1978","Kanpur, Uttar Pradesh",WK-Batsman,Right Handed Bat,
245,Tinu Yohannan,"Feb 18, 1979","Quilon (Now Kollam), Kerala",Bowler,Right Handed Bat,Right-Arm Fast-Medium
