"STUID,State,District,Gender,Age,Category,Same language,Siblings,Handicap,Father edu,Mother edu,Father occupation,Mother occupation,Below poverty,Use calculator,Use computer,Use Internet,Use dictionary,Read other books,# Books,Distance,Computer use,Library use,Like school,Subjects,Give Lang HW,Give Math HW,Give Scie HW,Give SoSc HW,Correct Lang HW,Correct Math HW,Correct Scie HW,Correct SocS HW,Help in Study,Private tuition,English is difficult,Read English,Dictionary to learn,Answer English WB,Answer English aloud,Maths is difficult,Solve Maths,Solve Maths in groups,Draw geometry,Explain answers,SocSci is difficult,Historical excursions,Participate in SocSci,Small groups in SocSci,Express SocSci views,Science is difficult,Observe experiments,Conduct experiments,Solve science problems,Express science views,Watch TV,Read magazine,Read a book,Play games,Help in household,Maths %,Reading %,Science %,Social %"
"11011003029,AP,1,2,4,1,1,2,0,2,1,1,3,2,1,No,1,1,1,0,1,3,0,2,O,2,4,2,2,2,2,2,2,1,1,1,3,1,3,1,1,1,3,3,1,1,3,2,3,1,1,3,1,1,1,4,3,4,4,4,,,18.52,"
"11011003030,AP,1,1,4,4,1,4,2,2,0,1,1,2,1,No,1,1,1,0,2,3,2,2,O,2,4,2,2,2,2,2,2,1,1,1,3,1,3,3,1,1,3,3,3,1,3,3,3,3,1,3,2,1,1,4,3,3,4,4,22.22,43.33,,"
"11011003032,AP,1,1,3,1,1,2,2,1,1,1,1,0,1,No,1,2,0,0,2,2,5,2,L,3,3,3,3,4,4,1,4,1,1,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,,,23.64,22.92"
"11011003034,AP,1,1,3,0,1,2,2,0,0,2,0,2,1,No,1,1,1,1,2,2,2,1,L,3,4,2,2,3,2,2,2,2,1,3,3,1,3,1,3,2,3,3,3,3,3,3,1,3,3,3,3,1,0,4,3,2,4,4,25.93,70.0,,"
"11011003035,AP,1,1,3,0,1,2,2,1,0,3,1,2,1,No,1,1,0,2,2,2,2,1,L,3,4,2,2,3,2,2,2,2,1,3,1,1,3,1,1,1,1,3,2,3,3,1,1,2,3,3,1,1,2,4,2,1,4,4,,,25.45,14.58"
"11011003036,AP,1,1,4,3,1,2,2,1,0,1,0,2,1,No,1,1,1,1,2,3,4,2,L,4,4,2,3,2,4,2,3,2,1,3,3,2,3,2,3,2,1,2,1,3,3,3,2,3,3,2,2,2,3,4,4,3,2,4,,,,36.0"
"11011003038,AP,1,1,4,3,1,3,2,4,0,1,0,2,2,No,1,2,2,4,2,3,4,2,S,4,4,2,3,2,4,2,2,1,1,3,3,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,4,3,4,12.96,,,"
"11011003039,AP,1,1,5,2,1,3,2,2,1,1,1,0,1,No,1,2,0,1,1,4,2,1,L,3,3,3,4,4,4,1,4,2,1,1,3,3,3,3,3,3,3,3,3,1,3,3,0,0,1,3,3,3,1,4,3,2,4,4,,,29.09,27.08"
"11011003040,AP,1,1,3,4,1,2,2,1,0,1,1,2,1,No,1,2,2,0,2,4,0,2,L,3,3,3,3,4,4,1,4,1,1,1,3,3,3,3,1,3,3,1,3,3,3,3,3,3,3,3,3,3,1,4,3,2,4,4,,,33.33,"
"11011005002,AP,1,2,4,3,1,3,2,3,1,3,3,2,1,No,1,2,0,1,1,4,4,2,L,4,4,4,3,4,4,4,4,2,1,3,3,3,3,3,1,1,3,3,3,1,3,3,1,3,3,3,3,1,3,4,3,4,4,4,29.63,70.0,,"
"11011005003,AP,1,2,3,3,1,3,2,2,1,3,3,2,1,No,1,2,2,2,3,4,5,2,M,4,4,4,3,4,4,4,4,2,1,3,3,2,3,3,3,3,2,3,2,2,3,2,1,3,2,3,1,1,3,4,3,4,4,4,,,30.91,38.0"
"11011005004,AP,1,2,2,1,1,2,2,3,2,2,2,2,2,No,1,2,2,2,1,5,4,1,L,4,4,4,3,4,4,4,4,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,25.93,66.67,,"
